model_name,architecture,activation,optimizer,seq_length,grad_clip,accuracy,f1_score,avg_epoch_time,best_val_acc,final_train_loss,final_val_loss
rnn_relu_adam_seq50_clip1.0,rnn,relu,adam,50,1.0,0.71636,0.7149391541222407,2.749020981788635,0.71636,0.42655872256325944,0.6248112958486732
lstm_relu_adam_seq50_clip1.0,lstm,relu,adam,50,1.0,0.76476,0.7645383688199275,2.797271394729614,0.76476,0.136289063687472,0.8358480706810951
bilstm_relu_adam_seq50_clip1.0,bilstm,relu,adam,50,1.0,0.76764,0.7675899150689132,3.343873476982117,0.76764,0.09884246491679392,0.8884490544114576
lstm_sigmoid_adam_seq50_clip1.0,lstm,sigmoid,adam,50,1.0,0.75824,0.7581697817909125,2.6542145013809204,0.75824,0.2913310569818215,0.6312755635174949
lstm_tanh_adam_seq50_clip1.0,lstm,tanh,adam,50,1.0,0.7638,0.7637671069319691,2.7168883323669433,0.7638,0.14802530157687072,0.7794075138161859
lstm_relu_sgd_seq50_clip1.0,lstm,relu,sgd,50,1.0,0.50336,0.4976124647423165,2.710835027694702,0.50336,0.6932927597209316,0.6931213731198664
lstm_relu_rmsprop_seq50_clip1.0,lstm,relu,rmsprop,50,1.0,0.76464,0.7643840358642159,3.7197964668273924,0.76464,0.15613923536237242,0.8085354512076244
lstm_relu_adam_seq25_clip1.0,lstm,relu,adam,25,1.0,0.71968,0.7195382685518279,3.424568438529968,0.71968,0.1239576433044489,1.1429308471472368
lstm_relu_adam_seq100_clip1.0,lstm,relu,adam,100,1.0,0.81336,0.8131677259744283,3.60948269367218,0.81336,0.19152399362124445,0.5240406898491066
lstm_relu_adam_seq50_clipnone,lstm,relu,adam,50,,0.76644,0.7661853758743271,2.9457420825958254,0.76644,0.1698222187755015,0.6850130386707728
